acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0.193,0.664,0.666,0.0,0.0854,-2.203,1,0.0446,139.987,0.405
0.00795,0.809,0.911,0.000179,0.181,-4.41,0,0.0617,122.035,0.64
0.0702,0.689,0.678,0.0,0.0889,-4.287,0,0.119,145.883,0.335
0.121,0.657,0.88,0.0,0.463,-3.672,0,0.102,150.084,0.769
0.191,0.714,0.736,0.0,0.0553,-3.801,1,0.0457,149.985,0.814
0.0618,0.52,0.915,0.000946,0.0856,-2.862,1,0.103,90.069,0.5
0.00719,0.634,0.928,2.55e-06,0.0626,-1.609,1,0.0514,164.007,0.738
0.0923,0.645,0.862,0.0,0.192,-4.757,0,0.0965,119.991,0.798
0.0895,0.738,0.89,1.89e-06,0.213,-2.275,0,0.0748,114.942,0.75
0.411,0.74,0.804,0.0,0.0578,-2.187,1,0.0546,150.013,0.791
0.238,0.658,0.749,2.03e-06,0.272,-2.967,0,0.0634,128.909,0.442
0.0694,0.828,0.782,3.41e-05,0.0544,-4.014,1,0.0918,130.013,0.351
0.0244,0.583,0.885,0.0,0.357,-3.571,0,0.106,92.959,0.601
0.0746,0.565,0.903,0.0,0.359,-1.918,1,0.0499,97.968,0.54
0.0114,0.606,0.848,1.06e-06,0.206,-3.952,1,0.184,170.01,0.54
0.331,0.806,0.707,0.0,0.294,-4.623,1,0.0307,118.011,0.746
0.313,0.605,0.805,0.0,0.659,-3.212,1,0.0641,148.298,0.738
0.161,0.831,0.554,6.12e-05,0.152,-9.998,0,0.218,140.026,0.396
0.0474,0.688,0.909,1.35e-06,0.0674,-1.992,1,0.0624,97.097,0.702
0.0112,0.746,0.765,0.0,0.0936,-4.41,0,0.0993,114.044,0.737
0.0127,0.769,0.926,0.0,0.285,-1.627,1,0.0788,100.034,0.551
0.315,0.616,0.833,0.0,0.175,-3.314,0,0.067,97.898,0.595
0.0224,0.779,0.762,0.0,0.121,-5.188,0,0.0631,110.043,0.859
0.323,0.763,0.835,0.00221,0.225,-5.234,0,0.191,131.875,0.645
0.0132,0.699,0.866,0.0,0.648,-2.138,0,0.0446,132.023,0.795
