acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0.0293,0.556,0.723,0.0,0.13,-5.338,1,0.149,110.628,0.555
0.315,0.785,0.477,0.00133,0.141,-8.755,1,0.0633,121.0,0.572
0.173,0.662,0.6,0.000137,0.109,-6.402,1,0.0703,134.979,0.331
0.0209,0.718,0.516,3.35e-06,0.283,-4.953,0,0.147,73.739,0.337
0.684,0.687,0.445,0.0237,0.11,-9.11,1,0.0635,117.981,0.435
0.26,0.648,0.531,0.000897,0.12,-5.886,0,0.0345,143.008,0.253
0.604,0.556,0.437,0.0,0.201,-7.194,1,0.178,125.662,0.112
0.216,0.518,0.492,0.0012,0.146,-8.436,0,0.193,78.848,0.471
0.112,0.753,0.785,0.000191,0.0633,-6.53,1,0.174,148.015,0.85
0.0192,0.599,0.887,1.21e-06,0.3,-3.967,1,0.0984,170.918,0.881
0.605,0.93,0.774,0.0238,0.12,-4.203,1,0.0744,116.972,0.781
0.294,0.674,0.759,3.31e-05,0.116,-5.379,1,0.0376,129.926,0.509
0.0339,0.713,0.846,0.000377,0.106,-6.712,0,0.0537,120.021,0.572
0.739,0.569,0.299,0.0,0.054,-8.603,1,0.275,81.049,0.505
0.627,0.861,0.33,1.93e-06,0.14,-7.194,1,0.0526,95.016,0.718
0.709,0.761,0.397,0.105,0.166,-9.48,0,0.0516,127.971,0.464
0.388,0.705,0.433,0.134,0.0841,-9.706,1,0.204,168.006,0.602
0.785,0.532,0.381,0.00749,0.267,-6.99,1,0.0521,147.406,0.284
0.73,0.719,0.275,0.0,0.0985,-10.079,1,0.206,91.884,0.679
0.0747,0.644,0.492,0.000377,0.121,-9.623,1,0.25,139.855,0.213
0.146,0.704,0.68,1.25e-05,0.0692,-6.498,1,0.315,105.031,0.168
0.181,0.777,0.493,0.0,0.108,-6.516,1,0.126,134.086,0.82
0.105,0.932,0.835,0.0,0.0847,-3.905,1,0.156,144.02,0.926
0.543,0.859,0.423,0.0,0.104,-10.698,0,0.283,125.89,0.563
0.866,0.369,0.272,0.0,0.147,-10.497,1,0.0364,172.929,0.218
