acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0.227,0.829,0.617,0.00306,0.0618,-8.497,1,0.14,125.605,0.81
0.49,0.699,0.628,0.782,0.101,-5.163,0,0.0369,79.968,0.607
0.0965,0.689,0.872,0.000498,0.117,-4.786,1,0.0477,134.994,0.362
0.112,0.653,0.524,0.0,0.203,-9.016,0,0.0502,83.97,0.553
0.535,0.552,0.348,0.0018,0.106,-10.258,1,0.0353,110.051,0.152
0.169,0.813,0.456,2.86e-06,0.105,-7.667,0,0.0684,108.801,0.587
0.127,0.707,0.955,0.0,0.202,-4.593,0,0.222,125.989,0.575
0.886,0.723,0.391,0.000151,0.119,-12.677,0,0.0614,84.967,0.254
0.976,0.71,0.187,4.32e-06,0.0939,-15.505,1,0.0359,85.029,0.586
0.809,0.725,0.26,0.00651,0.0869,-16.43,1,0.0596,78.304,0.277
0.342,0.52,0.731,0.00101,0.311,-5.338,0,0.0557,173.93,0.662
0.0904,0.912,0.716,0.0,0.0491,-4.141,0,0.0697,94.981,0.377
0.14,0.655,0.74,0.0,0.106,-4.081,1,0.274,182.105,0.543
0.00496,0.732,0.899,4.64e-05,0.372,-4.237,1,0.143,127.091,0.759
0.0358,0.596,0.851,3.19e-05,0.365,-4.245,0,0.121,202.049,0.612
0.235,0.435,0.92,0.000353,0.552,-1.357,0,0.201,188.899,0.45
0.112,0.468,0.779,0.000373,0.101,-4.839,1,0.0779,173.799,0.26
0.0192,0.599,0.887,1.21e-06,0.3,-3.967,1,0.0984,170.918,0.881
0.482,0.658,0.371,0.896,0.0757,-7.847,1,0.0402,170.02,0.559
0.00464,0.681,0.865,0.00169,0.149,-4.132,0,0.0594,91.017,0.528
0.0884,0.66,0.689,0.0,0.0922,-2.671,0,0.0337,127.98,0.427
0.00237,0.644,0.755,7.64e-06,0.0859,-5.325,1,0.0448,102.861,0.334
0.135,0.482,0.706,0.00106,0.105,-5.762,1,0.0607,92.513,0.144
0.0392,0.706,0.756,0.0,0.18,-4.405,0,0.0845,97.098,0.676
0.29,0.762,0.596,0.0,0.0691,-8.152,1,0.075,116.887,0.378
