acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0.108,0.639,0.518,0.0,0.307,-13.892,0,0.312,145.058,0.497
8.47e-05,0.73,0.643,0.0,0.203,-7.811,0,0.0984,141.961,0.492
0.121,0.693,0.575,0.0,0.104,-7.633,1,0.0906,138.016,0.353
0.0339,0.601,0.537,0.0,0.137,-9.143,1,0.115,140.221,0.228
0.0786,0.707,0.6,0.0,0.325,-9.341,1,0.219,75.944,0.598
0.00128,0.7,0.792,7.64e-05,0.375,-5.28,1,0.0459,139.978,0.422
0.0185,0.605,0.444,0.0,0.297,-7.223,1,0.141,172.26,0.115
0.0748,0.947,0.605,7.54e-06,0.0901,-8.621,0,0.346,129.988,0.656
0.143,0.696,0.662,0.0,0.125,-5.647,1,0.138,146.034,0.216
0.00125,0.754,0.695,0.00109,0.127,-11.162,1,0.183,135.752,0.262
0.00165,0.669,0.682,0.0116,0.339,-7.974,1,0.293,148.153,0.345
0.0651,0.658,0.683,0.0,0.2,-8.219,1,0.319,144.001,0.178
0.018,0.708,0.561,0.0,0.106,-8.453,0,0.0828,74.041,0.106
0.0138,0.785,0.62,0.0,0.15,-6.667,1,0.254,78.477,0.478
0.0119,0.725,0.725,0.0,0.086,-6.067,0,0.159,140.003,0.515
0.0725,0.753,0.777,0.000714,0.125,-5.701,0,0.32,157.148,0.669
0.0284,0.378,0.712,0.0,0.345,-6.486,1,0.075,161.928,0.385
0.0164,0.562,0.711,0.0,0.189,-4.984,1,0.31,160.039,0.226
0.00192,0.567,0.462,3.57e-06,0.106,-7.794,1,0.36,152.236,0.172
0.00412,0.504,0.658,0.0,0.274,-7.57,0,0.253,160.22,0.524
0.0114,0.741,0.787,0.0,0.261,-3.653,1,0.0373,122.978,0.296
0.00482,0.771,0.594,6.88e-06,0.111,-8.991,0,0.193,149.106,0.119
0.0515,0.769,0.807,0.0,0.111,-2.966,1,0.306,82.422,0.364
0.177,0.83,0.564,0.0,0.128,-7.822,1,0.235,85.042,0.107
0.00472,0.663,0.583,0.0,0.125,-5.789,0,0.275,121.678,0.146
