acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0.0144,0.523,0.783,1.71e-05,0.219,-5.084,1,0.0545,76.588,0.581
0.0124,0.678,0.892,0.00184,0.295,-5.84,1,0.0391,77.003,0.691
0.104,0.649,0.791,1.97e-06,0.108,-6.013,1,0.193,128.023,0.811
0.0452,0.618,0.842,0.000216,0.0737,-4.384,0,0.0772,175.989,0.734
0.125,0.731,0.626,0.0,0.183,-6.919,1,0.0805,82.488,0.862
0.708,0.511,0.475,0.0,0.105,-14.667,1,0.161,98.957,0.819
0.308,0.868,0.347,2e-05,0.11,-9.529,1,0.0536,110.059,0.659
0.0294,0.495,0.933,0.0,0.503,-3.977,1,0.395,173.414,0.815
0.36,0.689,0.578,0.0,0.11,-8.737,1,0.0368,98.043,0.391
0.137,0.697,0.875,0.0,0.28,-4.621,1,0.034,140.069,0.774
0.00239,0.429,0.661,0.000121,0.234,-7.227,1,0.0281,173.372,0.285
0.0973,0.638,0.708,0.0,0.177,-5.342,0,0.0754,84.978,0.606
0.0435,0.528,0.671,1.74e-05,0.125,-3.945,1,0.0355,112.934,0.581
0.0135,0.794,0.766,0.0,0.0785,-3.894,0,0.0377,127.007,0.55
0.395,0.575,0.714,0.0,0.115,-5.247,1,0.0596,144.982,0.32
0.824,0.642,0.334,0.0,0.335,-11.173,1,0.462,83.125,0.526
0.57,0.65,0.306,7.07e-06,0.0707,-9.443,1,0.0393,118.068,0.605
0.128,0.653,0.869,2.2e-05,0.046,-3.725,1,0.0382,122.017,0.697
0.896,0.525,0.562,0.855,0.129,-11.273,1,0.0464,126.697,0.726
0.111,0.42,0.676,0.0,0.157,-7.334,0,0.18,82.166,0.689
0.5,0.668,0.271,2.53e-06,0.233,-10.321,1,0.0379,119.08,0.694
0.894,0.405,0.3,0.0,0.154,-6.475,1,0.0378,162.355,0.24
0.442,0.675,0.802,0.035,0.117,-5.671,1,0.0398,137.987,0.356
0.0267,0.684,0.607,0.000307,0.191,-8.127,0,0.1,81.001,0.498
0.00826,0.836,0.67,0.000355,0.0837,-6.907,0,0.23,107.018,0.556
