acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0.454,0.746,0.611,0.000922,0.133,-7.034,0,0.101,149.967,0.411
0.393,0.628,0.676,6.94e-05,0.0978,-4.227,1,0.0424,78.996,0.723
0.432,0.89,0.46,0.0,0.11,-8.155,1,0.0359,112.555,0.677
0.00167,0.637,0.929,2.62e-05,0.344,-3.593,1,0.0491,80.974,0.902
0.61,0.769,0.386,1.29e-05,0.172,-7.82,1,0.0425,125.012,0.431
0.403,0.568,0.824,0.0,0.0855,-4.613,1,0.0299,108.625,0.753
0.357,0.645,0.721,0.143,0.204,-4.394,1,0.0336,182.928,0.88
0.619,0.881,0.592,1.32e-05,0.0901,-4.898,1,0.0324,101.058,0.719
0.037,0.708,0.598,0.0,0.17,-8.365,1,0.0291,112.027,0.698
0.132,0.641,0.842,0.91,0.419,-7.27,1,0.0292,129.98,0.5
0.0213,0.577,0.797,0.000472,0.207,-6.013,1,0.0246,105.02,0.797
0.0488,0.816,0.46,0.261,0.106,-13.299,1,0.034,89.57,0.963
0.617,0.676,0.525,0.0,0.356,-5.88,1,0.028,112.011,0.421
0.395,0.575,0.714,0.0,0.115,-5.247,1,0.0596,144.982,0.32
0.595,0.766,0.354,0.0,0.381,-9.486,1,0.0543,153.902,0.792
0.571,0.866,0.388,0.0,0.1,-11.009,1,0.32,109.976,0.556
0.217,0.756,0.609,0.00474,0.096,-7.927,1,0.0544,117.023,0.537
0.0371,0.764,0.705,1.94e-05,0.0943,-5.279,0,0.0278,101.003,0.672
0.00847,0.56,0.936,0.0,0.161,-5.835,1,0.0439,112.96,0.371
0.00301,0.471,0.924,0.0,0.313,-3.906,1,0.0586,154.961,0.725
0.125,0.731,0.626,0.0,0.183,-6.919,1,0.0805,82.488,0.862
0.0563,0.399,0.491,0.00089,0.11,-10.778,0,0.0538,91.066,0.151
0.0153,0.773,0.47,0.000193,0.0851,-7.93,1,0.0299,94.995,0.399
0.649,0.604,0.466,0.0334,0.093,-10.093,1,0.0315,120.045,0.499
0.379,0.812,0.519,0.0,0.13,-4.823,1,0.0385,104.954,0.554
