acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0.0456,0.589,0.57,1.51e-06,0.137,-9.54,1,0.361,136.203,0.441
0.194,0.729,0.625,0.00986,0.248,-5.266,1,0.0315,146.034,0.261
0.0195,0.843,0.546,0.0,0.374,-7.714,1,0.464,159.104,0.427
0.215,0.664,0.483,0.0,0.193,-8.839,0,0.436,145.053,0.37
0.0838,0.806,0.749,0.0,0.0621,-5.268,1,0.328,140.032,0.77
0.056,0.612,0.406,7.17e-05,0.16,-11.985,1,0.193,145.006,0.461
0.000718,0.926,0.762,0.0,0.117,-1.887,1,0.205,127.931,0.277
0.0904,0.897,0.371,0.0,0.325,-5.019,1,0.368,81.008,0.441
0.116,0.612,0.993,0.0,0.307,-1.895,1,0.24,98.004,0.487
0.139,0.625,0.686,0.0,0.11,-3.715,0,0.0414,133.041,0.263
0.268,0.494,0.815,0.0,0.267,-5.789,1,0.368,78.002,0.777
0.02,0.749,0.491,0.00899,0.159,-9.655,1,0.0403,119.528,0.536
0.659,0.625,0.533,0.00266,0.0546,-11.903,0,0.0596,108.296,0.139
0.337,0.706,0.485,0.0,0.122,-9.671,1,0.331,115.414,0.144
0.0055,0.703,0.7,0.0,0.115,-2.417,1,0.221,169.861,0.34
0.414,0.86,0.717,0.0,0.0843,-5.542,0,0.48,158.019,0.812
0.0185,0.458,0.697,0.0,0.784,-5.02,1,0.325,172.584,0.495
0.306,0.677,0.56,0.0,0.0974,-6.386,1,0.319,139.905,0.194
0.0845,0.555,0.713,0.0,0.712,-4.549,1,0.0911,79.934,0.725
0.671,0.776,0.431,0.0,0.153,-7.544,0,0.091,133.999,0.495
0.00267,0.557,0.719,0.0,0.306,-4.515,0,0.0371,77.502,0.345
0.113,0.841,0.869,0.0,0.413,-3.588,0,0.235,110.042,0.649
0.262,0.705,0.613,6.97e-06,0.198,-7.441,1,0.123,74.521,0.259
0.0438,0.546,0.64,0.0,0.137,-5.582,1,0.37,137.728,0.63
0.00166,0.929,0.653,7.71e-06,0.585,-4.594,1,0.268,140.065,0.525
