acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0.0567,0.681,0.88,0.0,0.0893,-3.895,1,0.227,124.885,0.38
0.00201,0.646,0.793,7.7e-06,0.306,-7.229,1,0.197,101.966,0.226
0.00301,0.704,0.893,1.82e-05,0.571,-5.403,1,0.0571,105.018,0.367
0.00295,0.603,0.866,0.0,0.191,-4.293,0,0.192,127.075,0.79
0.0259,0.604,0.66,0.244,0.294,-9.589,1,0.175,78.724,0.227
0.0352,0.901,0.619,0.0,0.266,-6.568,1,0.394,100.091,0.432
0.0883,0.654,0.831,0.0,0.214,-5.717,0,0.393,109.834,0.605
0.0887,0.691,0.74,0.0,0.149,-5.884,1,0.298,78.025,0.41
0.00687,0.676,0.742,3.43e-05,0.158,-5.404,1,0.134,135.906,0.188
0.0567,0.458,0.909,4.26e-06,0.11,-6.553,1,0.487,118.227,0.449
0.0573,0.729,0.799,4.18e-06,0.289,-6.136,0,0.111,144.025,0.439
0.0209,0.729,0.742,3.63e-05,0.135,-6.569,0,0.217,75.045,0.254
0.0329,0.508,0.821,7.05e-06,0.594,-7.416,0,0.454,88.255,0.345
0.0891,0.809,0.667,0.0,0.501,-6.786,1,0.0374,115.011,0.286
0.211,0.609,0.834,0.0,0.342,-6.689,1,0.168,75.041,0.37
0.0557,0.603,0.764,0.0,0.621,-7.407,1,0.287,119.942,0.382
0.273,0.757,0.659,0.0,0.0637,-5.733,1,0.0528,114.044,0.354
0.108,0.415,0.745,6.69e-05,0.526,-5.902,1,0.174,84.926,0.468
0.445,0.897,0.765,3.53e-05,0.132,-6.98,1,0.0709,135.014,0.891
0.0416,0.782,0.794,0.0,0.199,-5.789,1,0.291,138.965,0.755
0.0736,0.681,0.636,2.79e-06,0.163,-8.047,1,0.231,128.163,0.663
0.157,0.807,0.556,0.0,0.0906,-5.539,0,0.119,87.852,0.383
0.28,0.711,0.676,0.0,0.409,-5.859,1,0.107,121.766,0.635
0.0926,0.51,0.807,0.0,0.682,-4.629,1,0.325,95.771,0.496
0.0336,0.903,0.606,0.0,0.11,-5.35,1,0.335,147.555,0.679
