acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0.0256,0.82,0.568,0.0,0.0952,-8.23,0,0.411,152.279,0.535
0.459,0.878,0.407,0.0,0.111,-10.941,1,0.233,89.007,0.546
0.264,0.787,0.673,3.35e-06,0.0904,-4.583,0,0.159,110.962,0.779
0.102,0.785,0.652,0.0,0.0697,-2.607,1,0.0668,170.024,0.484
0.855,0.202,0.129,0.00243,0.104,-18.237,1,0.0411,86.741,0.0793
0.000209,0.541,0.693,0.00103,0.0553,-4.252,1,0.0612,142.086,0.483
0.00408,0.603,0.67,1.68e-06,0.112,-3.882,0,0.0249,107.993,0.446
0.507,0.704,0.751,0.0,0.0699,-3.823,1,0.19,87.493,0.848
0.0558,0.627,0.618,0.0,0.351,-8.529,1,0.0437,82.03,0.848
0.0227,0.623,0.746,0.0,0.144,-5.174,1,0.317,78.776,0.507
0.0114,0.157,0.926,0.95,0.522,-13.041,0,0.0496,83.204,0.0208
0.457,0.65,0.531,0.0,0.249,-8.335,1,0.0364,78.946,0.487
0.0251,0.743,0.675,0.000717,0.0685,-4.267,0,0.0953,92.909,0.59
0.00272,0.517,0.906,9.26e-06,0.113,-3.677,1,0.0735,172.977,0.731
0.154,0.61,0.893,4.41e-05,0.021,-3.681,1,0.0921,104.031,0.673
0.011,0.844,0.722,0.0,0.105,-5.178,0,0.264,146.976,0.67
0.000282,0.908,0.621,5.39e-05,0.0958,-6.638,0,0.102,150.011,0.421
0.784,0.444,0.0924,0.0,0.304,-15.605,1,0.0366,108.917,0.219
0.377,0.79,0.67,2.32e-06,0.119,-5.527,1,0.105,139.956,0.408
0.389,0.742,0.553,0.0,0.0694,-8.98,1,0.419,84.931,0.508
0.00302,0.84,0.766,3.61e-06,0.0684,-4.12,1,0.136,94.018,0.402
0.035,0.916,0.718,2.23e-05,0.305,-5.99,1,0.154,105.957,0.515
0.855,0.809,0.541,0.000977,0.142,-6.525,1,0.252,92.132,0.811
0.332,0.58,0.527,2.96e-06,0.101,-11.505,1,0.0441,180.021,0.905
0.449,0.453,0.538,0.0,0.19,-8.212,1,0.0638,122.973,0.516
