acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence
0.0311,0.543,0.781,0.0,0.306,-3.923,0,0.144,87.009,0.695
0.0468,0.583,0.862,0.0,0.256,-4.387,1,0.0575,105.998,0.422
0.0323,0.645,0.741,0.0,0.29,-4.989,0,0.0339,123.07,0.534
0.00166,0.423,0.94,0.0,0.178,-4.012,0,0.0635,149.934,0.505
0.0257,0.619,0.938,1.39e-05,0.128,-5.245,1,0.35,94.38,0.601
0.148,0.673,0.894,3.4e-06,0.141,-2.73,1,0.0594,118.894,0.63
0.026,0.742,0.697,5.38e-06,0.105,-5.931,1,0.0422,105.984,0.475
0.0116,0.594,0.874,0.0,0.549,-3.716,1,0.0815,119.964,0.628
0.0991,0.755,0.837,0.0,0.289,-2.718,0,0.142,120.028,0.714
0.00509,0.571,0.89,0.0,0.0769,-1.6,1,0.0395,110.958,0.751
0.0186,0.602,0.807,0.0,0.148,-4.577,1,0.0545,96.044,0.424
0.00377,0.693,0.878,3.19e-05,0.126,-4.112,0,0.0684,123.969,0.637
0.0852,0.612,0.87,3.27e-06,0.106,-4.102,1,0.0406,139.999,0.467
0.00172,0.569,0.793,0.00054,0.136,-5.041,0,0.0329,139.979,0.687
0.0137,0.599,0.963,0.0,0.0936,-2.147,1,0.273,157.967,0.726
0.0167,0.646,0.626,8.7e-06,0.112,-6.351,1,0.0729,83.981,0.372
0.103,0.727,0.974,0.000532,0.174,-2.261,0,0.0664,79.526,0.965
0.0441,0.737,0.636,6.66e-05,0.35,-4.546,0,0.0437,105.005,0.565
0.139,0.697,0.775,0.0,0.0737,-4.106,1,0.0636,90.015,0.822
0.207,0.709,0.824,0.000307,0.0888,-8.824,1,0.0453,118.818,0.867
0.292,0.688,0.832,0.0,0.0749,-5.15,0,0.075,123.936,0.656
0.0026,0.617,0.759,0.0,0.419,-6.785,0,0.0678,122.924,0.324
0.00123,0.599,0.853,0.000504,0.37,-3.878,0,0.0365,94.997,0.676
0.31,0.579,0.736,0.0,0.198,-3.863,0,0.0527,127.999,0.613
0.115,0.604,0.698,0.00203,0.114,-6.455,1,0.0377,91.973,0.276
